accuracy	0.879961	0.879523	0.878211	0.877883	0.884115	0.878102	0.880617	0.877993	0.881273	0.877446	0.878102	0.883131	0.873073	0.884990	0.878321	0.882256	0.877009	0.881710	0.880179	0.883568	0.879851	0.875041	0.878649	0.877228	0.877774	0.881710	0.876572	0.884115	0.882038	0.874057	0.876025	0.887067	0.875806	0.882803	0.878649	0.877665	0.880726	0.880617	0.877337	0.883678	0.882256	0.881601	0.877118	0.880507	0.881710	0.879414	0.879633	0.879961	0.878430	0.879086	0.879692	0.002857
recall	0.670082	0.665123	0.665047	0.667783	0.675357	0.662765	0.672186	0.674358	0.673865	0.669415	0.668796	0.665592	0.664252	0.678580	0.663219	0.679139	0.661177	0.670171	0.670736	0.672831	0.670719	0.666253	0.669108	0.672498	0.660745	0.667783	0.665322	0.673997	0.676580	0.664815	0.652995	0.675361	0.665198	0.679178	0.676366	0.659179	0.664683	0.672852	0.664480	0.673824	0.669956	0.669447	0.659764	0.674316	0.674394	0.670276	0.673672	0.666301	0.678497	0.669130	0.669363	0.005700
precision	0.719475	0.726036	0.721285	0.725975	0.728581	0.714204	0.726158	0.721358	0.726794	0.728117	0.723471	0.730615	0.713263	0.727757	0.715915	0.734155	0.711520	0.724001	0.720651	0.734067	0.725467	0.719289	0.716267	0.730046	0.723955	0.726126	0.712794	0.726399	0.726464	0.710765	0.708120	0.726282	0.718827	0.734745	0.720543	0.721641	0.718958	0.727224	0.714299	0.732988	0.729747	0.720708	0.720551	0.721772	0.725719	0.722869	0.718809	0.721115	0.721549	0.722403	0.722797	0.006167
f1score	0.689900	0.688219	0.686766	0.690136	0.696599	0.682994	0.693491	0.693454	0.694907	0.691949	0.690156	0.689969	0.683652	0.698618	0.683845	0.700974	0.681005	0.691413	0.690739	0.696397	0.692201	0.686971	0.688165	0.694778	0.684252	0.690302	0.684351	0.694950	0.696741	0.683295	0.673950	0.695945	0.686085	0.701199	0.694581	0.682424	0.685887	0.694295	0.684239	0.696818	0.692976	0.689876	0.682558	0.693613	0.694959	0.691080	0.692179	0.687688	0.696363	0.690105	0.690360	0.005568
mcc	0.386413	0.386387	0.382217	0.389434	0.400417	0.373443	0.394670	0.392915	0.397147	0.393175	0.388438	0.390835	0.374321	0.403350	0.375455	0.409616	0.369281	0.390480	0.388191	0.402264	0.392385	0.381877	0.382479	0.398409	0.379471	0.389564	0.375124	0.396951	0.399945	0.372758	0.356883	0.398402	0.380262	0.410177	0.394443	0.375663	0.379782	0.396363	0.375489	0.402487	0.395205	0.386773	0.375426	0.393235	0.396808	0.389611	0.389878	0.383519	0.397723	0.387892	0.388469	0.010812
spd	0.145302	0.171457	0.156884	0.158887	0.135612	0.160817	0.124192	0.164400	0.132010	0.155745	0.133251	0.132328	0.156151	0.150068	0.110033	0.149960	0.158509	0.119502	0.187967	0.110046	0.156235	0.108354	0.146203	0.153461	0.147140	0.141524	0.122044	0.131979	0.172445	0.149526	0.121695	0.116811	0.151206	0.167117	0.147672	0.156836	0.150268	0.124221	0.160926	0.141955	0.135210	0.153440	0.142080	0.144763	0.162702	0.139152	0.175084	0.109352	0.182036	0.149467	0.145481	0.018924
aod	0.153445	0.166446	0.193370	0.178953	0.120500	0.145995	0.129965	0.180085	0.155520	0.148124	0.119592	0.128198	0.147395	0.117882	0.126397	0.170754	0.182050	0.134268	0.211385	0.119831	0.165548	0.117069	0.157366	0.153937	0.140260	0.136920	0.114424	0.123754	0.153538	0.159581	0.106251	0.111293	0.168272	0.208725	0.134785	0.148671	0.155691	0.108095	0.151732	0.107011	0.092829	0.179274	0.145599	0.136329	0.145964	0.153026	0.178570	0.118209	0.171722	0.120336	0.145899	0.026867
eod	0.203558	0.231738	0.307640	0.259795	0.159962	0.195867	0.189529	0.269886	0.236693	0.196130	0.152979	0.170572	0.207129	0.149549	0.218269	0.258873	0.271468	0.210807	0.307656	0.176364	0.217937	0.162807	0.239116	0.230370	0.205229	0.179722	0.152046	0.176266	0.222170	0.231041	0.168946	0.130918	0.240774	0.329253	0.182349	0.187486	0.219509	0.152368	0.168260	0.134953	0.128695	0.274826	0.203877	0.193723	0.197639	0.220000	0.233907	0.191394	0.210206	0.143040	0.206066	0.046099
accuracy	0.844430	0.853504	0.848912	0.845742	0.847710	0.849568	0.853504	0.840057	0.850005	0.845523	0.844539	0.851645	0.844321	0.852739	0.850443	0.852083	0.844430	0.851208	0.845851	0.848256	0.844867	0.841915	0.847710	0.848584	0.845414	0.842353	0.845086	0.847819	0.842243	0.842790	0.843774	0.853176	0.845086	0.850771	0.844321	0.841915	0.851208	0.847382	0.846616	0.848147	0.843555	0.848256	0.845195	0.846070	0.846726	0.845086	0.840931	0.844649	0.840166	0.849459	0.846715	0.003547
recall	0.644887	0.652410	0.646059	0.647884	0.650014	0.649863	0.653336	0.639415	0.655240	0.645728	0.645909	0.646853	0.652385	0.656735	0.649544	0.662580	0.643321	0.648598	0.648118	0.644446	0.645528	0.642568	0.653325	0.651433	0.641088	0.640417	0.652169	0.647540	0.651593	0.643969	0.628935	0.654141	0.645397	0.653110	0.658211	0.634673	0.647850	0.654933	0.639070	0.652768	0.643726	0.642783	0.643636	0.648243	0.651779	0.648039	0.639868	0.642374	0.650688	0.653280	0.647729	0.006089
