accuracy	0.880070	0.876900	0.877665	0.876353	0.883350	0.881273	0.879414	0.877009	0.878867	0.874932	0.876462	0.880398	0.870121	0.880070	0.878539	0.869247	0.876025	0.882256	0.877555	0.876462	0.874276	0.873948	0.877446	0.876900	0.881163	0.879086	0.879523	0.875806	0.875697	0.876790	0.876790	0.883568	0.873729	0.876353	0.876681	0.874166	0.877665	0.874385	0.877009	0.880945	0.878211	0.876572	0.876572	0.880507	0.875478	0.875916	0.875697	0.879195	0.875260	0.880289	0.877372	0.002854
recall	0.741535	0.725502	0.726440	0.733772	0.742244	0.744109	0.728218	0.729566	0.732858	0.723320	0.733362	0.727468	0.729512	0.725422	0.722652	0.707935	0.732836	0.739752	0.725025	0.714555	0.719107	0.723155	0.729109	0.740106	0.735031	0.729346	0.728933	0.730217	0.734712	0.728932	0.726705	0.730930	0.726092	0.719973	0.728308	0.716189	0.718609	0.720602	0.724102	0.726146	0.732856	0.717892	0.723072	0.735380	0.731395	0.721973	0.727329	0.724735	0.724627	0.738559	0.728004	0.007314
precision	0.726191	0.723541	0.724627	0.726492	0.730542	0.729105	0.726707	0.723846	0.725190	0.724919	0.724604	0.726449	0.715226	0.719822	0.722152	0.706425	0.718252	0.729913	0.719748	0.718472	0.716559	0.721731	0.720057	0.732016	0.735201	0.723990	0.725907	0.713355	0.717756	0.723878	0.719022	0.722285	0.719935	0.721112	0.721133	0.717939	0.717121	0.716618	0.720005	0.728026	0.723915	0.714133	0.723887	0.726727	0.717051	0.719219	0.716174	0.723896	0.719002	0.729955	0.722197	0.005307
f1score	0.733450	0.724514	0.725528	0.730036	0.736159	0.736218	0.727458	0.726647	0.728918	0.724115	0.728843	0.726956	0.721976	0.722565	0.722402	0.707175	0.725153	0.734666	0.722335	0.716485	0.717821	0.722439	0.724433	0.735944	0.735116	0.726616	0.727404	0.721256	0.725705	0.726358	0.722755	0.726476	0.722943	0.720540	0.724626	0.717058	0.717861	0.718580	0.722022	0.727080	0.728241	0.715986	0.723479	0.730921	0.723842	0.720582	0.721519	0.724314	0.721755	0.734128	0.724988	0.005771
mcc	0.467475	0.449039	0.451063	0.460206	0.472641	0.472977	0.454922	0.453377	0.457983	0.448236	0.457882	0.453915	0.444508	0.445208	0.444804	0.414357	0.450853	0.469563	0.444741	0.433010	0.435659	0.444884	0.449075	0.472052	0.470231	0.453304	0.454830	0.443251	0.452150	0.452781	0.445662	0.453132	0.445985	0.441083	0.449385	0.434124	0.435727	0.437202	0.444088	0.454169	0.456683	0.432009	0.446959	0.462026	0.448217	0.441183	0.443363	0.448630	0.443593	0.468436	0.450133	0.011600
spd	0.117634	0.126701	0.101613	0.104027	0.102965	0.124276	0.108472	0.121838	0.085330	0.125768	0.105752	0.079058	0.099073	0.108068	0.082518	0.143588	0.129563	0.051749	0.130538	0.067003	0.097082	0.082634	0.135708	0.085422	0.113710	0.073790	0.075382	0.066736	0.178944	0.094405	0.119444	0.085017	0.145715	0.091808	0.124698	0.068925	0.106540	0.105420	0.073305	0.146335	0.162116	0.118063	0.070465	0.140598	0.104382	0.110449	0.105593	0.089790	0.112541	0.089393	0.105799	0.026271
aod	0.070870	0.074849	0.067068	0.103658	0.081771	0.073772	0.076865	0.091392	0.042526	0.066780	0.041564	0.052951	0.034444	0.046032	0.032811	0.123390	0.062961	0.015331	0.074941	0.038900	0.050396	0.074775	0.095342	0.040997	0.056152	0.064264	0.021873	0.042541	0.125262	0.073878	0.066443	0.043317	0.123507	0.040920	0.054470	0.019524	0.064730	0.049984	0.067650	0.088549	0.101877	0.077537	0.070559	0.090356	0.041197	0.073294	0.056136	0.039215	0.072062	0.049122	0.064176	0.025399
eod	0.048834	0.078658	0.044883	0.168480	0.075877	0.049214	0.089293	0.066705	0.029541	0.041532	0.007847	0.044919	0.008786	0.022445	0.015712	0.149876	0.020314	0.015306	0.052359	0.043636	0.023019	0.105088	0.107359	0.061812	0.058741	0.068863	0.000448	0.049147	0.157425	0.113134	0.096678	0.017360	0.146240	0.016814	0.017949	0.005181	0.064756	0.041495	0.064435	0.100249	0.146407	0.075195	0.082013	0.096228	0.031556	0.069091	0.037875	0.027991	0.073136	0.043590	0.061470	0.042216
accuracy	0.880070	0.876900	0.877665	0.876353	0.883350	0.881273	0.879414	0.877009	0.878867	0.874932	0.876462	0.880398	0.870121	0.880070	0.878539	0.869247	0.876025	0.882256	0.877555	0.876462	0.874276	0.873948	0.877446	0.876900	0.881163	0.879086	0.879523	0.875806	0.875697	0.876790	0.876790	0.883568	0.873729	0.876353	0.876681	0.874166	0.877665	0.874385	0.877009	0.880945	0.878211	0.876572	0.876572	0.880507	0.875478	0.875916	0.875697	0.879195	0.875260	0.880289	0.877372	0.002854
recall	0.741535	0.725502	0.726440	0.733772	0.742244	0.744109	0.728218	0.729566	0.732858	0.723320	0.733362	0.727468	0.729512	0.725422	0.722652	0.707935	0.732836	0.739752	0.725025	0.714555	0.719107	0.723155	0.729109	0.740106	0.735031	0.729346	0.728933	0.730217	0.734712	0.728932	0.726705	0.730930	0.726092	0.719973	0.728308	0.716189	0.718609	0.720602	0.724102	0.726146	0.732856	0.717892	0.723072	0.735380	0.731395	0.721973	0.727329	0.724735	0.724627	0.738559	0.728004	0.007314
precision	0.726191	0.723541	0.724627	0.726492	0.730542	0.729105	0.726707	0.723846	0.725190	0.724919	0.724604	0.726449	0.715226	0.719822	0.722152	0.706425	0.718252	0.729913	0.719748	0.718472	0.716559	0.721731	0.720057	0.732016	0.735201	0.723990	0.725907	0.713355	0.717756	0.723878	0.719022	0.722285	0.719935	0.721112	0.721133	0.717939	0.717121	0.716618	0.720005	0.728026	0.723915	0.714133	0.723887	0.726727	0.717051	0.719219	0.716174	0.723896	0.719002	0.729955	0.722197	0.005307
f1score	0.733450	0.724514	0.725528	0.730036	0.736159	0.736218	0.727458	0.726647	0.728918	0.724115	0.728843	0.726956	0.721976	0.722565	0.722402	0.707175	0.725153	0.734666	0.722335	0.716485	0.717821	0.722439	0.724433	0.735944	0.735116	0.726616	0.727404	0.721256	0.725705	0.726358	0.722755	0.726476	0.722943	0.720540	0.724626	0.717058	0.717861	0.718580	0.722022	0.727080	0.728241	0.715986	0.723479	0.730921	0.723842	0.720582	0.721519	0.724314	0.721755	0.734128	0.724988	0.005771
mcc	0.467475	0.449039	0.451063	0.460206	0.472641	0.472977	0.454922	0.453377	0.457983	0.448236	0.457882	0.453915	0.444508	0.445208	0.444804	0.414357	0.450853	0.469563	0.444741	0.433010	0.435659	0.444884	0.449075	0.472052	0.470231	0.453304	0.454830	0.443251	0.452150	0.452781	0.445662	0.453132	0.445985	0.441083	0.449385	0.434124	0.435727	0.437202	0.444088	0.454169	0.456683	0.432009	0.446959	0.462026	0.448217	0.441183	0.443363	0.448630	0.443593	0.468436	0.450133	0.011600
spd	0.117634	0.126701	0.101613	0.104027	0.102965	0.124276	0.108472	0.121838	0.085330	0.125768	0.105752	0.079058	0.099073	0.108068	0.082518	0.143588	0.129563	0.051749	0.130538	0.067003	0.097082	0.082634	0.135708	0.085422	0.113710	0.073790	0.075382	0.066736	0.178944	0.094405	0.119444	0.085017	0.145715	0.091808	0.124698	0.068925	0.106540	0.105420	0.073305	0.146335	0.162116	0.118063	0.070465	0.140598	0.104382	0.110449	0.105593	0.089790	0.112541	0.089393	0.105799	0.026271
aod	0.070870	0.074849	0.067068	0.103658	0.081771	0.073772	0.076865	0.091392	0.042526	0.066780	0.041564	0.052951	0.034444	0.046032	0.032811	0.123390	0.062961	0.015331	0.074941	0.038900	0.050396	0.074775	0.095342	0.040997	0.056152	0.064264	0.021873	0.042541	0.125262	0.073878	0.066443	0.043317	0.123507	0.040920	0.054470	0.019524	0.064730	0.049984	0.067650	0.088549	0.101877	0.077537	0.070559	0.090356	0.041197	0.073294	0.056136	0.039215	0.072062	0.049122	0.064176	0.025399
eod	0.048834	0.078658	0.044883	0.168480	0.075877	0.049214	0.089293	0.066705	0.029541	0.041532	0.007847	0.044919	0.008786	0.022445	0.015712	0.149876	0.020314	0.015306	0.052359	0.043636	0.023019	0.105088	0.107359	0.061812	0.058741	0.068863	0.000448	0.049147	0.157425	0.113134	0.096678	0.017360	0.146240	0.016814	0.017949	0.005181	0.064756	0.041495	0.064435	0.100249	0.146407	0.075195	0.082013	0.096228	0.031556	0.069091	0.037875	0.027991	0.073136	0.043590	0.061470	0.042216
