accuracy	0.835483	0.842191	0.836368	0.842559	0.844549	0.846097	0.844402	0.843886	0.843517	0.842780	0.842854	0.841748	0.843370	0.839316	0.842780	0.844918	0.844844	0.844918	0.844328	0.842191	0.844770	0.839537	0.839095	0.840569	0.840200	0.843444	0.845655	0.843665	0.847645	0.840790	0.848972	0.843223	0.842559	0.844033	0.845360	0.841232	0.841232	0.843812	0.842264	0.844402	0.843444	0.840716	0.847055	0.844697	0.845655	0.842854	0.848161	0.840790	0.842191	0.841085	0.843044	0.002618
recall	0.732752	0.741080	0.731706	0.742029	0.746133	0.744146	0.741405	0.740472	0.739450	0.736259	0.738347	0.739793	0.741464	0.735893	0.739057	0.739907	0.741062	0.739944	0.740084	0.739236	0.739471	0.732187	0.732876	0.733742	0.739156	0.740475	0.742766	0.742711	0.745929	0.739196	0.743069	0.740385	0.733144	0.742794	0.745658	0.733399	0.732223	0.746377	0.739894	0.738656	0.741867	0.737488	0.744096	0.743710	0.746569	0.737728	0.743764	0.734969	0.738615	0.737519	0.739613	0.003992
precision	0.801176	0.808411	0.805690	0.807872	0.808245	0.813598	0.811588	0.816156	0.808810	0.809402	0.814899	0.809308	0.813644	0.803894	0.810542	0.814648	0.813196	0.815416	0.812033	0.806866	0.813489	0.806954	0.802116	0.804645	0.807821	0.815466	0.809834	0.809425	0.817471	0.809885	0.819976	0.806192	0.809741	0.806579	0.808737	0.813977	0.810803	0.813542	0.806027	0.813299	0.809172	0.806902	0.814884	0.810646	0.807903	0.806724	0.821411	0.811299	0.812065	0.814083	0.810529	0.004212
f1score	0.756192	0.764810	0.756346	0.765448	0.768791	0.768670	0.765972	0.766125	0.763791	0.761379	0.764098	0.763972	0.766332	0.759584	0.763775	0.765511	0.766096	0.765693	0.765045	0.763071	0.764922	0.757343	0.756864	0.758213	0.763005	0.765938	0.766746	0.766417	0.771026	0.763526	0.769508	0.763895	0.758988	0.765868	0.768627	0.759814	0.758303	0.770105	0.763394	0.764210	0.765701	0.761589	0.769012	0.767546	0.769127	0.761957	0.770236	0.760509	0.763675	0.763072	0.764197	0.003771
mcc	0.529526	0.545350	0.532278	0.545945	0.550887	0.553403	0.548522	0.551459	0.543855	0.540737	0.547924	0.544683	0.550396	0.535487	0.544930	0.549495	0.549544	0.550208	0.547409	0.541898	0.547983	0.533932	0.530493	0.533697	0.542649	0.550860	0.548515	0.548091	0.558839	0.544512	0.557768	0.542602	0.537454	0.545658	0.550794	0.541413	0.537311	0.555876	0.541900	0.546885	0.546913	0.539947	0.554480	0.550300	0.551069	0.540062	0.559816	0.540908	0.545760	0.546262	0.545534	0.006945
spd	0.065966	0.046712	0.063877	0.064879	0.058076	0.069550	0.065030	0.055039	0.050733	0.057298	0.062936	0.068221	0.052315	0.067872	0.067453	0.055533	0.064451	0.056573	0.065400	0.073547	0.056883	0.046261	0.059122	0.055909	0.054363	0.064997	0.060601	0.065688	0.070325	0.059419	0.055385	0.065171	0.072081	0.079686	0.061430	0.063526	0.062691	0.059321	0.064790	0.061383	0.068307	0.047468	0.058088	0.067559	0.066452	0.070704	0.066323	0.064955	0.074342	0.065748	0.062409	0.007075
aod	0.011611	0.038645	0.017042	0.020633	0.045825	0.025824	0.022180	0.012049	0.024885	0.010766	0.026641	0.011738	0.015990	0.022722	0.016839	0.008423	0.012128	0.015803	0.013766	0.037617	0.007490	0.024941	0.011073	0.029019	0.023505	0.011582	0.010189	0.016697	0.016049	0.019027	0.006644	0.018389	0.045822	0.029541	0.018622	0.019992	0.029639	0.015681	0.012554	0.011852	0.021876	0.034632	0.016438	0.020572	0.009383	0.011640	0.021814	0.011509	0.017990	0.014285	0.019392	0.009213
eod	0.006798	0.067412	0.019706	0.017193	0.076960	0.034754	0.029081	0.013295	0.037811	0.012017	0.028902	0.009457	0.022940	0.021487	0.016352	0.002871	0.006834	0.018449	0.011210	0.050349	0.003307	0.036517	0.011235	0.041814	0.036088	0.006247	0.005911	0.015522	0.010488	0.019298	0.008856	0.019705	0.070411	0.035093	0.028633	0.021068	0.040572	0.019019	0.014772	0.017636	0.026872	0.061953	0.025217	0.031239	0.001010	0.001123	0.026644	0.008497	0.015469	0.009111	0.023464	0.017756
accuracy	0.840274	0.846539	0.840716	0.845802	0.846466	0.848235	0.848014	0.847203	0.846613	0.847498	0.844549	0.845286	0.847276	0.840569	0.845655	0.846392	0.850077	0.849267	0.848677	0.843444	0.847571	0.842485	0.842264	0.841675	0.842412	0.847055	0.848603	0.847571	0.851552	0.842928	0.851773	0.846687	0.844476	0.846097	0.847866	0.845655	0.843370	0.845213	0.846908	0.847719	0.847424	0.842633	0.848456	0.846982	0.848898	0.846392	0.849488	0.845213	0.847276	0.845581	0.846135	0.002661
recall	0.757904	0.765576	0.756330	0.763693	0.767930	0.764104	0.765804	0.761371	0.763507	0.761977	0.759250	0.762246	0.766007	0.757597	0.760296	0.760037	0.767531	0.763907	0.766222	0.759385	0.761793	0.755258	0.757625	0.753465	0.760298	0.762980	0.766684	0.764610	0.771283	0.762280	0.767193	0.765324	0.755436	0.764674	0.768574	0.757739	0.755559	0.768274	0.764063	0.760697	0.764844	0.758204	0.764310	0.764114	0.771109	0.761635	0.765139	0.759112	0.762043	0.759666	0.762493	0.004122
precision	0.797632	0.804065	0.800321	0.802742	0.800733	0.806167	0.805239	0.809722	0.801933	0.804798	0.804671	0.803807	0.807147	0.794500	0.803986	0.804846	0.809044	0.809966	0.806220	0.798091	0.805798	0.799495	0.795633	0.795587	0.800137	0.808880	0.803034	0.805493	0.810608	0.800644	0.810574	0.800433	0.800157	0.799397	0.801921	0.807752	0.800597	0.803427	0.803019	0.806882	0.804834	0.798946	0.805477	0.803792	0.802271	0.801192	0.809640	0.805910	0.808903	0.809536	0.803712	0.004075
f1score	0.773971	0.781424	0.773726	0.779716	0.781843	0.781187	0.782018	0.780318	0.779367	0.779291	0.777231	0.779056	0.782722	0.772790	0.777807	0.777928	0.784476	0.782264	0.782641	0.775255	0.779476	0.772844	0.773245	0.770401	0.776465	0.781178	0.781898	0.781282	0.787537	0.777977	0.784814	0.780064	0.773271	0.779270	0.782715	0.777126	0.773425	0.782935	0.780100	0.779060	0.781224	0.774694	0.781119	0.780385	0.784487	0.777875	0.783019	0.777535	0.780552	0.778967	0.779199	0.003650
