accuracy	0.834230	0.840938	0.834599	0.842117	0.841232	0.844254	0.842854	0.839611	0.841822	0.838579	0.839979	0.840569	0.840790	0.837400	0.840790	0.842559	0.843738	0.842043	0.844033	0.841306	0.841969	0.840053	0.837621	0.839316	0.838063	0.838874	0.842854	0.840569	0.845581	0.838063	0.846834	0.842338	0.839685	0.840790	0.843370	0.840643	0.839390	0.843812	0.842559	0.841896	0.839390	0.837252	0.845581	0.842338	0.846392	0.842117	0.844697	0.839316	0.839095	0.837621	0.841030	0.002706
recall	0.718475	0.727265	0.717071	0.729493	0.726526	0.729623	0.728021	0.723140	0.725854	0.717367	0.722530	0.725413	0.726523	0.721301	0.723387	0.723902	0.727174	0.723252	0.728614	0.725670	0.722189	0.721079	0.719058	0.718389	0.723807	0.723475	0.727158	0.723451	0.732025	0.723292	0.728885	0.724091	0.719301	0.724523	0.730508	0.721330	0.717490	0.735752	0.724347	0.720577	0.724550	0.720603	0.728198	0.727377	0.734990	0.726304	0.728266	0.720445	0.720836	0.720775	0.724473	0.004273
precision	0.809870	0.816684	0.814155	0.817204	0.814768	0.821057	0.818838	0.819758	0.815438	0.813596	0.821572	0.818800	0.819785	0.810569	0.818897	0.822716	0.822762	0.822680	0.821612	0.815840	0.821200	0.819032	0.809273	0.814373	0.815141	0.817665	0.814566	0.817119	0.824083	0.816271	0.827110	0.817439	0.813417	0.811919	0.815214	0.824649	0.819464	0.823114	0.820605	0.823023	0.811883	0.811253	0.825188	0.817817	0.819210	0.814082	0.825915	0.821028	0.819566	0.820015	0.818145	0.004321
f1score	0.745934	0.755267	0.745377	0.757342	0.754399	0.758385	0.756511	0.752092	0.754041	0.746204	0.751888	0.754006	0.755106	0.748878	0.752369	0.753631	0.756554	0.752994	0.757612	0.753878	0.751881	0.750331	0.746849	0.747292	0.751742	0.751958	0.755108	0.752126	0.761029	0.751477	0.759116	0.752976	0.747977	0.752233	0.758001	0.751389	0.747231	0.763624	0.753699	0.750756	0.752052	0.748378	0.758058	0.755745	0.762702	0.754230	0.758080	0.749939	0.750040	0.749794	0.753166	0.004201
mcc	0.520380	0.536549	0.522279	0.539614	0.534053	0.543037	0.539265	0.534232	0.533828	0.522171	0.535012	0.536141	0.538289	0.524325	0.533807	0.537613	0.541565	0.536802	0.542310	0.533950	0.534292	0.531155	0.520572	0.524044	0.531152	0.532879	0.534626	0.532393	0.548436	0.531491	0.547250	0.533423	0.524338	0.529275	0.539108	0.536113	0.527182	0.551996	0.536384	0.533860	0.529276	0.524073	0.544820	0.537640	0.547763	0.533209	0.545510	0.532049	0.531307	0.531606	0.534449	0.007305
spd	0.110939	0.107890	0.114136	0.107857	0.116739	0.117562	0.106788	0.096910	0.108158	0.107680	0.110340	0.114130	0.111138	0.102544	0.109644	0.102424	0.107888	0.098250	0.115272	0.109851	0.104246	0.108135	0.102945	0.094866	0.110745	0.107241	0.109600	0.098652	0.108317	0.113156	0.100048	0.104896	0.103641	0.116418	0.110378	0.107144	0.091199	0.112641	0.101815	0.107604	0.115652	0.110069	0.104689	0.111845	0.116075	0.105357	0.108075	0.101958	0.099232	0.100010	0.107256	0.005942
aod	0.031292	0.037542	0.024694	0.041833	0.031880	0.020213	0.051335	0.040588	0.042972	0.044712	0.031241	0.040163	0.018233	0.056031	0.032924	0.029997	0.040697	0.045559	0.038400	0.033573	0.016355	0.034755	0.037785	0.047503	0.037956	0.044548	0.039912	0.055462	0.050119	0.037046	0.061790	0.038430	0.064687	0.022896	0.023814	0.035431	0.027634	0.043526	0.041113	0.028704	0.031377	0.045817	0.041934	0.035958	0.026345	0.047905	0.031687	0.049185	0.054365	0.030397	0.038366	0.010625
eod	0.027174	0.044531	0.015340	0.051829	0.026224	0.007360	0.069560	0.057099	0.052540	0.055672	0.029843	0.045047	0.012491	0.077205	0.030456	0.034560	0.048138	0.065075	0.043667	0.032806	0.010271	0.037207	0.048302	0.067622	0.043777	0.061613	0.042886	0.085495	0.069453	0.041548	0.098728	0.044524	0.098389	0.011810	0.017992	0.040116	0.038302	0.056217	0.051891	0.024265	0.031758	0.058171	0.055659	0.040397	0.021589	0.064024	0.035741	0.066793	0.080490	0.035310	0.046139	0.021422
accuracy	0.841232	0.848308	0.842043	0.845213	0.848530	0.850372	0.850520	0.847792	0.847719	0.849709	0.846834	0.846613	0.849193	0.843296	0.848014	0.849635	0.850667	0.850593	0.850667	0.846023	0.849561	0.844844	0.843223	0.844623	0.845139	0.849561	0.849561	0.850741	0.852878	0.845655	0.850667	0.846613	0.846687	0.847940	0.848677	0.848235	0.845802	0.847424	0.850225	0.848382	0.847940	0.845434	0.850151	0.849488	0.850004	0.848087	0.850446	0.846687	0.848161	0.845213	0.847820	0.002483
recall	0.759028	0.768339	0.759620	0.763799	0.770003	0.767437	0.770582	0.763623	0.765253	0.764658	0.762438	0.764608	0.768558	0.761001	0.764056	0.765298	0.768726	0.766386	0.770864	0.763209	0.764121	0.759914	0.760283	0.758465	0.764456	0.767580	0.768344	0.769416	0.773568	0.766628	0.765951	0.765581	0.758634	0.767934	0.769009	0.761912	0.759776	0.772361	0.769997	0.762345	0.767190	0.761754	0.766549	0.767887	0.772658	0.764392	0.767075	0.761272	0.764891	0.760381	0.765356	0.003858
precision	0.799167	0.806576	0.801565	0.801411	0.804166	0.809263	0.808398	0.809786	0.803523	0.808434	0.808162	0.805551	0.810094	0.798789	0.807355	0.809454	0.809747	0.811654	0.808308	0.801914	0.809124	0.802427	0.796517	0.799738	0.804043	0.812050	0.804346	0.810114	0.812386	0.804431	0.808697	0.800165	0.803568	0.801882	0.803446	0.811402	0.803932	0.806185	0.807420	0.807515	0.804819	0.803387	0.808150	0.807466	0.803920	0.803613	0.810779	0.808116	0.809335	0.808231	0.806010	0.003798
f1score	0.775251	0.784141	0.776424	0.779332	0.784431	0.784497	0.786307	0.781930	0.781086	0.782336	0.780582	0.781253	0.785449	0.776548	0.781509	0.783078	0.785525	0.784537	0.786469	0.779138	0.782175	0.777031	0.775330	0.775211	0.780607	0.785408	0.783456	0.786104	0.789679	0.782199	0.783338	0.780138	0.776602	0.782292	0.783548	0.781238	0.777444	0.786602	0.785589	0.780415	0.782795	0.778602	0.783542	0.784183	0.786088	0.780561	0.784729	0.779757	0.782684	0.779078	0.781925	0.003387
mcc	0.556751	0.573642	0.559616	0.563957	0.573152	0.575180	0.577744	0.571548	0.567487	0.571417	0.568766	0.568687	0.577159	0.558513	0.569768	0.573053	0.577016	0.576266	0.577961	0.563796	0.571476	0.560732	0.555619	0.556675	0.567119	0.577921	0.571557	0.578099	0.584667	0.569806	0.573056	0.564688	0.560404	0.568804	0.571418	0.571174	0.561976	0.577557	0.576203	0.568067	0.570770	0.563605	0.573192	0.573990	0.575730	0.566649	0.576199	0.567458	0.572504	0.566595	0.569904	0.006520
spd	0.187647	0.179638	0.190567	0.179681	0.194318	0.186367	0.182255	0.171296	0.182499	0.184114	0.183760	0.186463	0.184874	0.182831	0.179651	0.173346	0.183251	0.173033	0.191619	0.181830	0.183931	0.186668	0.180266	0.175620	0.185813	0.182875	0.182374	0.175799	0.183537	0.194784	0.178806	0.186217	0.171630	0.190249	0.184291	0.177492	0.171893	0.190822	0.180340	0.184567	0.185959	0.179201	0.179797	0.186042	0.192442	0.178933	0.180231	0.179298	0.178259	0.174745	0.182438	0.005712
aod	0.102166	0.077787	0.099504	0.078293	0.098290	0.099451	0.078706	0.076146	0.085514	0.086715	0.089347	0.084691	0.094348	0.083653	0.086038	0.075430	0.089911	0.076919	0.087468	0.091449	0.113665	0.092825	0.077152	0.080332	0.087304	0.079881	0.089666	0.066596	0.077523	0.098287	0.068931	0.093530	0.053058	0.099290	0.096175	0.081265	0.093296	0.081912	0.086319	0.101634	0.086148	0.070383	0.080835	0.093644	0.101121	0.079720	0.084271	0.080700	0.072617	0.092863	0.086055	0.010828
