accuracy	0.644516	0.682874	0.659103	0.659103	0.663425	0.661804	0.651540	0.659643	0.680713	0.670989	0.686116	0.683414	0.678012	0.678012	0.674230	0.669368	0.656942	0.676931	0.667207	0.665586	0.662885	0.658563	0.672069	0.669368	0.662345	0.667207	0.640735	0.676931	0.672609	0.674770	0.662345	0.668287	0.669908	0.654781	0.659103	0.658023	0.636953	0.659643	0.656942	0.674770	0.654241	0.670448	0.661264	0.679092	0.659643	0.673690	0.666667	0.660184	0.669368	0.653701	0.665521	0.010576
recall	0.635440	0.674197	0.645310	0.647369	0.651936	0.653125	0.638445	0.645037	0.669215	0.660783	0.672607	0.670679	0.665818	0.665456	0.660449	0.658129	0.645731	0.664461	0.658370	0.656628	0.649249	0.645407	0.658608	0.654902	0.646553	0.655583	0.629266	0.664805	0.660748	0.663476	0.651329	0.655594	0.657966	0.643448	0.645269	0.645899	0.624534	0.645341	0.646987	0.659941	0.643974	0.656307	0.650180	0.669692	0.652664	0.662680	0.651514	0.650903	0.658194	0.640570	0.653615	0.010612
precision	0.649683	0.693471	0.658000	0.662144	0.667888	0.662491	0.654505	0.652092	0.684593	0.668792	0.688757	0.689054	0.677821	0.675839	0.675128	0.674073	0.659317	0.678178	0.673841	0.667899	0.656691	0.656063	0.669807	0.667368	0.660377	0.667417	0.638179	0.681062	0.671868	0.673214	0.659257	0.676011	0.669001	0.662066	0.660035	0.659556	0.632422	0.654512	0.668508	0.670819	0.657217	0.668039	0.660136	0.681899	0.661672	0.675340	0.665557	0.663283	0.673067	0.652903	0.666538	0.011862
f1score	0.631568	0.671115	0.644755	0.645390	0.649731	0.652493	0.635697	0.646186	0.668449	0.661368	0.672606	0.669561	0.666143	0.666284	0.660209	0.656295	0.643918	0.664304	0.655657	0.655547	0.650311	0.645371	0.659177	0.655217	0.646320	0.655230	0.628493	0.663711	0.660968	0.664027	0.651808	0.652461	0.658099	0.639256	0.643938	0.644423	0.624199	0.646030	0.641176	0.661005	0.641797	0.656810	0.650005	0.669142	0.651497	0.662226	0.651347	0.649167	0.656742	0.639610	0.652737	0.011037
mcc	0.284767	0.367162	0.303045	0.309160	0.319427	0.315477	0.292510	0.297045	0.353473	0.329478	0.361003	0.359263	0.343429	0.341137	0.335256	0.331819	0.304746	0.342364	0.331850	0.324331	0.305849	0.301282	0.328224	0.322029	0.306619	0.322784	0.267296	0.345485	0.332430	0.336550	0.310485	0.330976	0.326780	0.304947	0.304947	0.305149	0.256835	0.299713	0.314760	0.330581	0.300900	0.324133	0.310156	0.351378	0.314207	0.337782	0.316760	0.313941	0.330927	0.293213	0.319877	0.022226
spd	0.048654	0.048141	0.111532	0.131123	0.081309	0.064098	0.082527	0.062748	0.096145	0.063856	0.045298	0.093131	0.125852	0.068990	0.094022	0.053877	0.063146	0.079126	0.118684	0.089236	0.098875	0.060149	0.064460	0.046788	0.066949	0.083537	0.073798	0.097067	0.071874	0.066087	0.081728	0.059055	0.088386	0.058160	0.097674	0.091214	0.064464	0.069295	0.096351	0.105785	0.080488	0.102964	0.073274	0.073028	0.102241	0.118475	0.088362	0.065686	0.054288	0.073593	0.079912	0.021065
aod	0.037314	0.047403	0.082782	0.102761	0.065713	0.051903	0.058306	0.063285	0.074936	0.040048	0.063392	0.077194	0.108081	0.040297	0.071140	0.034297	0.030183	0.063816	0.097413	0.063302	0.072959	0.040308	0.032542	0.034137	0.048845	0.059910	0.054396	0.068933	0.054048	0.063373	0.070588	0.027964	0.055022	0.032422	0.075101	0.069887	0.040747	0.047035	0.091783	0.091064	0.060295	0.069245	0.054960	0.046083	0.072459	0.084224	0.073751	0.047971	0.052757	0.052514	0.060378	0.019166
eod	0.011100	0.027612	0.082447	0.067051	0.008682	0.006057	0.003024	0.018111	0.025618	0.000317	0.038280	0.024006	0.070243	0.010959	0.033354	0.011033	0.010191	0.005708	0.051632	0.028104	0.043572	0.025410	0.035709	0.008642	0.009262	0.013195	0.017905	0.028241	0.009913	0.012835	0.000296	0.013576	0.046272	0.001599	0.021477	0.020931	0.018746	0.007312	0.037572	0.037276	0.047559	0.038338	0.000115	0.001893	0.034624	0.051023	0.009569	0.010727	0.015954	0.026089	0.023583	0.018998
accuracy	0.646677	0.686656	0.656942	0.663965	0.658563	0.656402	0.653701	0.656942	0.682334	0.664506	0.693679	0.679092	0.673690	0.679092	0.675311	0.662885	0.663425	0.675851	0.666667	0.667207	0.662885	0.653701	0.673150	0.662345	0.660724	0.661804	0.636953	0.670448	0.674770	0.668828	0.655321	0.668287	0.663965	0.660184	0.661804	0.650459	0.641275	0.660184	0.662885	0.670448	0.658563	0.669908	0.662885	0.672069	0.656942	0.672609	0.669908	0.662885	0.665046	0.656402	0.664625	0.010472
recall	0.639198	0.678586	0.645802	0.653373	0.648364	0.648436	0.641176	0.644767	0.672278	0.656393	0.681540	0.667650	0.663743	0.667749	0.662864	0.652202	0.653132	0.665665	0.658939	0.659406	0.650234	0.642045	0.661276	0.649075	0.646827	0.651040	0.627336	0.659396	0.663146	0.659292	0.645526	0.656616	0.653205	0.650391	0.649820	0.639319	0.629701	0.646755	0.653984	0.657724	0.649365	0.657675	0.653496	0.663676	0.650727	0.662538	0.657914	0.654578	0.654720	0.644826	0.654070	0.010474
