accuracy	0.865024	0.866498	0.862497	0.858918	0.861866	0.864182	0.865866	0.858075	0.863761	0.859339	0.862708	0.862287	0.863761	0.855549	0.870288	0.863550	0.860392	0.867972	0.863550	0.857654	0.858497	0.856601	0.864393	0.860602	0.851127	0.861655	0.860813	0.866077	0.862076	0.861866	0.861866	0.863340	0.872605	0.867130	0.860181	0.852811	0.861023	0.859760	0.860181	0.858707	0.854075	0.865445	0.860181	0.857865	0.862919	0.870499	0.857444	0.864603	0.861445	0.861023	0.861811	0.004218
recall	0.657247	0.666199	0.661149	0.648071	0.659375	0.657585	0.665558	0.649654	0.664659	0.654704	0.657884	0.660116	0.668971	0.645292	0.667740	0.649758	0.665005	0.662945	0.654592	0.660758	0.642996	0.658134	0.665927	0.659366	0.644265	0.664332	0.649512	0.666721	0.657647	0.657399	0.656678	0.656801	0.669463	0.668861	0.662156	0.648142	0.655980	0.654428	0.663731	0.649548	0.653316	0.654863	0.655607	0.658603	0.650066	0.668276	0.648318	0.657201	0.664584	0.658627	0.657976	0.006931
precision	0.787120	0.803089	0.783398	0.792491	0.774876	0.787774	0.780314	0.776092	0.812409	0.771580	0.779481	0.793314	0.790654	0.776182	0.795113	0.796239	0.794875	0.793625	0.776811	0.772009	0.765204	0.772972	0.778236	0.799218	0.764030	0.791424	0.774813	0.786074	0.782806	0.779395	0.793008	0.786543	0.802643	0.783509	0.792491	0.781489	0.783349	0.770340	0.808127	0.774909	0.784216	0.780415	0.782511	0.776681	0.766113	0.784525	0.778382	0.795147	0.790913	0.783319	0.784605	0.010695
f1score	0.691873	0.702700	0.694852	0.682272	0.691955	0.692166	0.698985	0.682171	0.701776	0.686757	0.691245	0.695018	0.703386	0.677417	0.703677	0.685097	0.699686	0.698603	0.687833	0.692369	0.674386	0.689887	0.698849	0.694654	0.674562	0.698802	0.682259	0.700929	0.691347	0.690659	0.691524	0.691138	0.706637	0.702657	0.696615	0.680409	0.689643	0.686384	0.699830	0.682023	0.686097	0.688787	0.689065	0.690966	0.682009	0.702655	0.680980	0.692682	0.698952	0.692220	0.691749	0.007944
mcc	0.424965	0.448879	0.427408	0.416218	0.418609	0.425905	0.430851	0.406538	0.453612	0.409948	0.420122	0.433425	0.443225	0.400635	0.444982	0.421256	0.441161	0.437469	0.413728	0.418223	0.389478	0.415529	0.429730	0.436738	0.390335	0.437678	0.405403	0.436781	0.422296	0.419412	0.428524	0.423935	0.452931	0.437600	0.435564	0.408414	0.420461	0.408646	0.449222	0.405522	0.417492	0.416777	0.419335	0.418964	0.399672	0.437623	0.406394	0.430801	0.437629	0.423990	0.424001	0.015265
spd	0.056434	0.058872	0.054318	0.058321	0.068366	0.071782	0.055049	0.060252	0.065659	0.060620	0.067641	0.074277	0.061138	0.060739	0.063552	0.058172	0.064357	0.058966	0.053248	0.059013	0.071518	0.061478	0.055768	0.051018	0.066397	0.085186	0.061184	0.077571	0.071969	0.067350	0.052469	0.061051	0.063482	0.062593	0.076888	0.058218	0.062200	0.063314	0.060943	0.050277	0.061175	0.060356	0.067964	0.075265	0.069152	0.076327	0.058824	0.068875	0.070461	0.060795	0.063617	0.007401
aod	0.032519	0.020668	0.011201	0.022531	0.048054	0.058988	0.019483	0.037221	0.036714	0.042710	0.050883	0.044722	0.024690	0.023556	0.033812	0.032075	0.038398	0.023396	0.011260	0.015938	0.051905	0.025786	0.023615	0.021484	0.032669	0.076971	0.029481	0.045680	0.045011	0.041501	0.010823	0.024131	0.037458	0.021336	0.045460	0.018283	0.029108	0.024701	0.028519	0.010426	0.015407	0.014483	0.038010	0.042901	0.039118	0.036242	0.033174	0.032782	0.049860	0.020256	0.031908	0.013657
eod	0.051445	0.028303	0.004406	0.031053	0.070243	0.100298	0.019924	0.058115	0.063092	0.074914	0.083940	0.061166	0.035536	0.022388	0.045009	0.046513	0.060540	0.028507	0.004824	0.010209	0.080715	0.030586	0.033721	0.040478	0.043435	0.131911	0.033509	0.068679	0.062427	0.061399	0.009498	0.021277	0.070449	0.020875	0.064573	0.015973	0.041096	0.026141	0.043825	0.005913	0.011599	0.004039	0.051790	0.059894	0.053763	0.039754	0.048988	0.036355	0.084348	0.019794	0.044345	0.026702
accuracy	0.865866	0.869236	0.865024	0.859971	0.862497	0.865866	0.866709	0.858497	0.866709	0.859549	0.865866	0.864603	0.866709	0.858707	0.871762	0.865235	0.863761	0.869236	0.866498	0.858918	0.862287	0.858707	0.865235	0.861655	0.856180	0.861655	0.862497	0.867972	0.858707	0.863550	0.858707	0.865445	0.875132	0.865445	0.860392	0.853443	0.863761	0.860392	0.865235	0.860602	0.855338	0.866498	0.865445	0.859339	0.866498	0.872605	0.862287	0.866498	0.860392	0.861655	0.863495	0.004329
recall	0.669329	0.681890	0.675421	0.662457	0.670737	0.670540	0.671663	0.660592	0.682143	0.661246	0.675258	0.674441	0.682296	0.659114	0.681969	0.663091	0.685080	0.677888	0.672167	0.673028	0.662973	0.672230	0.674486	0.674402	0.664679	0.673799	0.664571	0.681906	0.664472	0.670297	0.657169	0.671933	0.687483	0.679561	0.674415	0.659447	0.671273	0.663764	0.683420	0.664420	0.661344	0.667874	0.678149	0.669976	0.666865	0.684317	0.665675	0.673101	0.670562	0.672584	0.671550	0.007640
precision	0.782187	0.801733	0.784239	0.784808	0.771021	0.785616	0.780033	0.770733	0.808397	0.768642	0.781448	0.791911	0.793153	0.779912	0.791221	0.792286	0.793107	0.788168	0.778323	0.770105	0.769666	0.772893	0.776650	0.790776	0.771981	0.784329	0.772570	0.784069	0.764943	0.778103	0.778111	0.784727	0.799716	0.771229	0.783957	0.775458	0.784147	0.767699	0.811413	0.773350	0.783203	0.776657	0.788673	0.775437	0.771872	0.783629	0.786764	0.790729	0.782004	0.776722	0.782170	0.010118
f1score	0.702741	0.717587	0.708491	0.695954	0.701841	0.704374	0.704607	0.692133	0.718478	0.692557	0.707971	0.708745	0.716277	0.691968	0.716199	0.698204	0.718401	0.711799	0.704753	0.703361	0.694596	0.703109	0.706397	0.708181	0.695848	0.706667	0.696532	0.714477	0.694848	0.702727	0.689870	0.705463	0.722890	0.709788	0.707024	0.691057	0.704580	0.694816	0.719868	0.696305	0.694067	0.700613	0.711703	0.701562	0.698918	0.716890	0.699569	0.707569	0.703217	0.704360	0.704399	0.008411
mcc	0.437183	0.468540	0.446594	0.430204	0.430225	0.441402	0.438504	0.417025	0.474014	0.416258	0.444190	0.451315	0.462345	0.422080	0.460405	0.436665	0.465825	0.452821	0.437804	0.432369	0.419276	0.433592	0.439416	0.450385	0.423271	0.444594	0.423589	0.454637	0.417496	0.435247	0.418141	0.442511	0.474096	0.441372	0.445090	0.419146	0.441211	0.418758	0.477993	0.424001	0.427519	0.431016	0.453549	0.432748	0.425986	0.457287	0.435934	0.448668	0.438630	0.437071	0.439960	0.016014
spd	0.091391	0.093517	0.089640	0.096329	0.099094	0.099581	0.078426	0.094619	0.100785	0.087905	0.100946	0.105642	0.091535	0.096743	0.093169	0.090899	0.105648	0.094269	0.089598	0.096281	0.103865	0.094005	0.082694	0.092641	0.104659	0.118810	0.095186	0.113209	0.110985	0.099737	0.082010	0.092685	0.105638	0.102511	0.115098	0.091647	0.092558	0.097585	0.093103	0.084284	0.091090	0.091180	0.109633	0.105068	0.101659	0.109046	0.097357	0.101882	0.103997	0.096166	0.097520	0.008452
aod	0.088070	0.071094	0.065234	0.072142	0.088170	0.096088	0.043106	0.084788	0.086486	0.083977	0.099820	0.087687	0.073715	0.086527	0.077113	0.081628	0.101447	0.075048	0.068029	0.071709	0.100255	0.071229	0.064155	0.079051	0.089474	0.125039	0.075594	0.093906	0.092597	0.091159	0.059871	0.078951	0.100078	0.078328	0.098309	0.065015	0.070152	0.078417	0.074876	0.064200	0.058392	0.057709	0.105187	0.087783	0.091013	0.086349	0.093030	0.078381	0.093410	0.068691	0.081450	0.014649
eod	0.143109	0.109551	0.095716	0.104368	0.128269	0.156373	0.057073	0.130243	0.143885	0.140101	0.163474	0.127677	0.118976	0.134258	0.113859	0.127321	0.166689	0.110425	0.099425	0.099586	0.161734	0.101487	0.098332	0.129154	0.138497	0.206308	0.103685	0.142065	0.125019	0.142578	0.089258	0.117403	0.171468	0.107785	0.145087	0.088721	0.104588	0.113521	0.121421	0.096251	0.078828	0.073266	0.167688	0.133122	0.141833	0.121812	0.149132	0.107445	0.145537	0.093707	0.123742	0.028156
