accuracy	0.634792	0.636413	0.643976	0.639114	0.643436	0.623987	0.648298	0.649379	0.648838	0.636413	0.640735	0.647758	0.652080	0.658023	0.652620	0.622366	0.639654	0.653160	0.641275	0.650999	0.646137	0.655321	0.660724	0.645597	0.645057	0.660184	0.634792	0.661804	0.660724	0.642896	0.641815	0.645057	0.635873	0.645597	0.645057	0.636953	0.641275	0.649379	0.633171	0.647218	0.641275	0.640194	0.632631	0.648298	0.644516	0.658023	0.651540	0.650999	0.645597	0.632631	0.644873	0.008831
recall1	0.704684	0.718080	0.703922	0.714286	0.704409	0.680723	0.719124	0.705323	0.711155	0.682399	0.713864	0.721670	0.714145	0.722493	0.744848	0.686373	0.708000	0.723866	0.725331	0.713998	0.700192	0.733138	0.729572	0.698737	0.709709	0.728981	0.703557	0.724378	0.716814	0.714426	0.696376	0.726453	0.679449	0.736364	0.716963	0.708748	0.705479	0.711946	0.753830	0.707692	0.725352	0.703883	0.712451	0.699097	0.708037	0.727634	0.724440	0.731584	0.709000	0.698522	0.713230	0.015066
recall0	0.555811	0.544725	0.570397	0.550588	0.572098	0.557895	0.564345	0.575720	0.574970	0.580336	0.551559	0.559763	0.576230	0.577670	0.539663	0.547479	0.559342	0.567503	0.546083	0.578089	0.576208	0.559179	0.574727	0.579075	0.563946	0.577381	0.551847	0.587470	0.592326	0.555288	0.574699	0.549824	0.582734	0.541231	0.557945	0.551479	0.562123	0.569496	0.497706	0.569667	0.543757	0.560292	0.536353	0.588993	0.572581	0.575148	0.560680	0.558140	0.571093	0.552632	0.562886	0.016430
recall_macro	0.630248	0.631402	0.637159	0.632437	0.638254	0.619309	0.641734	0.640521	0.643063	0.631367	0.632712	0.640717	0.645188	0.650081	0.642256	0.616926	0.633671	0.645684	0.635707	0.646043	0.638200	0.646158	0.652149	0.638906	0.636828	0.653181	0.627702	0.655924	0.654570	0.634857	0.635537	0.638139	0.631092	0.638797	0.637454	0.630113	0.633801	0.640721	0.625768	0.638680	0.634555	0.632088	0.624402	0.644045	0.640309	0.651391	0.642560	0.644862	0.640046	0.625577	0.638058	0.008485
precision1	0.641929	0.639091	0.667907	0.651778	0.658240	0.642045	0.661778	0.686401	0.664804	0.664751	0.660000	0.661202	0.673148	0.680734	0.664623	0.639589	0.653740	0.669708	0.644083	0.661998	0.681267	0.672646	0.681818	0.675117	0.671258	0.674908	0.654412	0.675952	0.681946	0.663024	0.668233	0.653742	0.665063	0.648577	0.662716	0.652930	0.665129	0.678604	0.627551	0.678341	0.648381	0.667587	0.649550	0.665076	0.652296	0.670944	0.672694	0.656109	0.660149	0.654663	0.662365	0.012926
precision0	0.624838	0.632490	0.610825	0.620690	0.623244	0.600000	0.628947	0.597403	0.626770	0.599752	0.612517	0.628154	0.622568	0.625493	0.633286	0.598718	0.619792	0.629139	0.637097	0.635897	0.597686	0.629076	0.629827	0.605598	0.607612	0.638999	0.606815	0.642119	0.631714	0.613546	0.606099	0.632075	0.598522	0.640990	0.619363	0.613966	0.607562	0.607612	0.642963	0.603133	0.630582	0.601307	0.607287	0.626401	0.633929	0.639474	0.620134	0.643432	0.625483	0.601562	0.620250	0.014092
precision_macro	0.633384	0.635790	0.639366	0.636234	0.640742	0.621023	0.645363	0.641902	0.645787	0.632252	0.636258	0.644678	0.647858	0.653113	0.648955	0.619154	0.636766	0.649424	0.640590	0.648948	0.639477	0.650861	0.655823	0.640358	0.639435	0.656954	0.630613	0.659035	0.656830	0.638285	0.637166	0.642909	0.631792	0.644783	0.641040	0.633448	0.636346	0.643108	0.635257	0.640737	0.639482	0.634447	0.628418	0.645739	0.643112	0.655209	0.646414	0.649770	0.642816	0.628113	0.641307	0.008667
f1score1	0.671845	0.676287	0.685442	0.681602	0.680542	0.660819	0.689260	0.695734	0.687199	0.673459	0.685876	0.690114	0.693041	0.700992	0.702453	0.662156	0.679789	0.695735	0.682297	0.687016	0.690600	0.701590	0.704887	0.686724	0.689948	0.700903	0.678095	0.699328	0.698945	0.687766	0.682014	0.688182	0.672179	0.689688	0.688773	0.679695	0.684710	0.694875	0.684919	0.692706	0.684710	0.685255	0.679548	0.681663	0.679024	0.698140	0.697609	0.691794	0.683703	0.675882	0.686710	0.009695
f1score0	0.588307	0.585336	0.589919	0.583541	0.596577	0.578182	0.594897	0.586361	0.599754	0.589884	0.580442	0.591990	0.598504	0.600631	0.582738	0.571953	0.588017	0.596734	0.588089	0.605617	0.586751	0.592072	0.601017	0.592040	0.584965	0.606629	0.578027	0.613580	0.611386	0.582965	0.589981	0.588088	0.590522	0.586902	0.587052	0.581047	0.583960	0.587937	0.561086	0.585923	0.583960	0.580076	0.569620	0.607121	0.601695	0.605607	0.588910	0.597758	0.597052	0.576060	0.589945	0.010498
f1score_macro	0.630076	0.630811	0.637680	0.632571	0.638560	0.619500	0.642079	0.641047	0.643476	0.631672	0.633159	0.641052	0.645772	0.650811	0.642596	0.617055	0.633903	0.646234	0.635193	0.646316	0.638675	0.646831	0.652952	0.639382	0.637457	0.653766	0.628061	0.656454	0.655166	0.635366	0.635998	0.638135	0.631351	0.638295	0.637913	0.630371	0.634335	0.641406	0.623002	0.639314	0.634335	0.632665	0.624584	0.644392	0.640360	0.651874	0.643260	0.644776	0.640377	0.625971	0.638328	0.008709
