accuracy	0.833714	0.840569	0.832166	0.840643	0.841159	0.841675	0.843223	0.839537	0.841306	0.836589	0.838063	0.837989	0.840274	0.837326	0.839169	0.842707	0.841601	0.838358	0.843812	0.843444	0.839979	0.836957	0.837105	0.836884	0.836441	0.837842	0.842043	0.838210	0.844844	0.837252	0.844992	0.840864	0.839979	0.840053	0.841748	0.839390	0.838653	0.839979	0.839979	0.839979	0.840200	0.835925	0.842707	0.838579	0.843738	0.840127	0.844549	0.837621	0.837989	0.835336	0.839665	0.002775
recall	0.709718	0.720282	0.705547	0.719555	0.719636	0.717433	0.719927	0.713993	0.717400	0.706728	0.712540	0.714631	0.716288	0.712506	0.713343	0.715979	0.717320	0.708918	0.719307	0.720850	0.710183	0.708565	0.708909	0.708349	0.714254	0.712641	0.718306	0.711682	0.723715	0.714107	0.717450	0.715159	0.711127	0.715973	0.719975	0.712252	0.709595	0.722177	0.715573	0.711048	0.717776	0.710594	0.717056	0.712625	0.722088	0.715073	0.720870	0.711465	0.711456	0.708859	0.714616	0.004437
precision	0.817929	0.823012	0.819393	0.822942	0.821773	0.825846	0.829286	0.830857	0.822762	0.818612	0.826984	0.822163	0.830264	0.819846	0.824912	0.833104	0.826688	0.826913	0.831738	0.828533	0.828671	0.822855	0.818443	0.817011	0.820306	0.827023	0.820982	0.822283	0.831055	0.824152	0.834423	0.822170	0.823686	0.818200	0.820578	0.831833	0.826540	0.825443	0.821505	0.827800	0.821731	0.817623	0.828051	0.821202	0.823724	0.819071	0.834469	0.825997	0.827135	0.826827	0.824687	0.004605
f1score	0.739283	0.750274	0.735418	0.749659	0.749664	0.748385	0.751235	0.745532	0.747907	0.737251	0.743558	0.744848	0.747632	0.742610	0.744256	0.748151	0.748375	0.740398	0.751106	0.751973	0.742025	0.739397	0.739257	0.738562	0.744022	0.743607	0.748576	0.742327	0.754990	0.744475	0.750033	0.745824	0.742327	0.745880	0.749890	0.744059	0.741022	0.752091	0.745944	0.742703	0.747906	0.740431	0.748514	0.743098	0.752441	0.745234	0.752918	0.742419	0.742601	0.739718	0.745396	0.004523
mcc	0.516431	0.533492	0.512446	0.532554	0.531688	0.532352	0.538214	0.532169	0.529786	0.513288	0.527247	0.525913	0.534536	0.521418	0.526565	0.536446	0.532901	0.522678	0.539454	0.538727	0.525666	0.518984	0.515851	0.514000	0.523934	0.527403	0.529423	0.522385	0.544286	0.526890	0.539335	0.526565	0.522834	0.524300	0.531109	0.530781	0.523226	0.537795	0.526527	0.526047	0.529397	0.517261	0.533687	0.522668	0.536266	0.523923	0.543596	0.525116	0.526021	0.522535	0.527922	0.007579
spd_for_attr1	0.108339	0.104903	0.104908	0.100830	0.111258	0.107581	0.103281	0.092458	0.107819	0.103228	0.101534	0.106069	0.102667	0.100579	0.102105	0.094228	0.102702	0.089228	0.108986	0.102591	0.094509	0.099693	0.094682	0.091657	0.103729	0.102210	0.104798	0.088173	0.106630	0.108809	0.095401	0.099845	0.097016	0.106875	0.104624	0.100324	0.086621	0.106630	0.094366	0.101165	0.106559	0.102385	0.098016	0.101194	0.110510	0.104210	0.100803	0.098304	0.094984	0.092805	0.101056	0.005882
aod_for_attr1	0.018524	0.035233	0.028583	0.040793	0.034216	0.020606	0.035614	0.030891	0.031739	0.036658	0.030750	0.036736	0.014909	0.044153	0.029365	0.039308	0.031709	0.038061	0.033529	0.028187	0.012955	0.032689	0.041509	0.043958	0.038216	0.035397	0.030373	0.058978	0.035995	0.030654	0.051348	0.037371	0.060294	0.025588	0.025043	0.033098	0.027215	0.042139	0.046566	0.028124	0.030579	0.048054	0.043698	0.034079	0.024079	0.036716	0.030109	0.041676	0.049087	0.027805	0.034859	0.009546
eod_for_attr1	0.006807	0.040862	0.026687	0.053359	0.033090	0.013391	0.043102	0.041757	0.030282	0.042066	0.034083	0.043060	0.011296	0.055603	0.028302	0.055718	0.034348	0.055985	0.037894	0.029330	0.009734	0.037367	0.059051	0.061007	0.047510	0.046521	0.028231	0.097502	0.043631	0.031222	0.080845	0.044461	0.094227	0.022819	0.021862	0.039526	0.039225	0.054385	0.065422	0.026204	0.036971	0.065735	0.061081	0.042118	0.018153	0.041560	0.037600	0.054256	0.072078	0.033697	0.042620	0.019194
 spd_for_attr2	0.051501	0.038935	0.045749	0.055108	0.041801	0.052007	0.051764	0.043390	0.046903	0.038147	0.044301	0.050570	0.037544	0.055905	0.056007	0.049243	0.048534	0.041004	0.055241	0.056194	0.037605	0.037082	0.041537	0.038361	0.038760	0.050753	0.048259	0.052727	0.059855	0.047845	0.040586	0.051174	0.061281	0.058676	0.049201	0.051410	0.051048	0.045517	0.042903	0.048464	0.053453	0.039840	0.045281	0.049494	0.044118	0.055350	0.054354	0.048607	0.057947	0.053810	0.048303	0.006537
aod_for_attr2	0.012910	0.030862	0.003459	0.017508	0.053225	0.013753	0.008695	0.008132	0.012959	0.007671	0.025806	0.010668	0.019813	0.018075	0.009094	0.006797	0.021035	0.024893	0.014064	0.027220	0.027645	0.024648	0.036425	0.042008	0.030229	0.009198	0.019490	0.007558	0.011023	0.008058	0.015889	0.006709	0.039116	0.011262	0.003862	0.010649	0.016736	0.021363	0.016259	0.008103	0.011936	0.038368	0.014219	0.003186	0.024722	0.008976	0.011740	0.009274	0.008537	0.008575	0.017048	0.010998
